1,"Velasquez Pyramid","6","42","PR","PR","PR","Colorado Maduro","Mild",
18,"Victor Sinclair 55 Series Red (Corojo) Gigante","8","50","DR","BRA/DR/NIC","BRA/COR","Colorado","Full",
18,"Victor Sinclair 55 Series Red (Corojo) Perfecto","5","54","DR","BRA/DR/NIC","BRA/COR","Colorado","Full",
18,"Victor Sinclair 55 Series Red (Corojo) Petite ","4","30","DR","BRA/DR/NIC","BRA/COR","Colorado","Full",
18,"Victor Sinclair 55 Series Red (Corojo) Robusto ","5","50","DR","BRA/DR/NIC","BRA/COR","Colorado","Full",
18,"Victor Sinclair 55 Series Red (Corojo) Shorty","4.5","48","DR","BRA/DR/NIC","BRA/COR","Colorado","Full",
18,"Victor Sinclair 55 Series Red (Corojo) Toro ","6","50","DR","BRA/DR/NIC","BRA/COR","Colorado","Full",
18,"Victor Sinclair 55 Series Red (Corojo) Torpedo","6.5","52","DR","BRA/DR/NIC","BRA/COR","Colorado","Full",
18,"Victor Sinclair 55 Series Red (Corojo) Tri-Press Figurado","6.5","52","DR","BRA/DR/NIC","BRA/COR","Colorado","Full",
18,"Victor Sinclair 55 Series White (Connecticut) BP Robusto Grande","5","55","DR","BRA/CAM/DR/NIC","CT/ECU","Colorado Claro","Mild-Medium",
18,"Victor Sinclair 55 Series White (Connecticut) Churchill ","7","50","DR","BRA/CAM/DR/NIC","CT/ECU","Colorado Claro","Mild-Medium",
18,"Victor Sinclair 55 Series White (Connecticut) Cigarillo","3.5","28","DR","BRA/CAM/DR/NIC","CT/ECU","Colorado Claro","Mild-Medium",
18,"Victor Sinclair 55 Series White (Connecticut) Robusto Grande","5","54","DR","BRA/CAM/DR/NIC","CT/ECU","Colorado Claro","Mild-Medium",
18,"Victor Sinclair 55 Series White (Connecticut) Toro ","6","50","DR","BRA/CAM/DR/NIC","CT/ECU","Colorado Claro","Mild-Medium",
18,"Victor Sinclair 55 Series White (Connecticut) Toro Grande","6","60","DR","BRA/CAM/DR/NIC","CT/ECU","Colorado Claro","Mild-Medium",
18,"Victor Sinclair 55 Series White (Connecticut) Toro Grande Bourbon","6","60","DR","BRA/CAM/DR/NIC","CT/ECU","Colorado Claro","Mild",
18,"Victor Sinclair 55 Series White (Connecticut) Toro Grande Coffee","6","60","DR","BRA/CAM/DR/NIC","CT/ECU","Colorado Claro","Mild",
19,"Victoria Mini","3.75","23","CI","","","","",
20,"Victorino Churchill","","","","","","","",
20,"Victorino Corona","","","","","","","",
20,"Victorino Doble Corona","","","","","","","",
20,"Victorino Panatela","","","","","","","",
21,"Victory Box Pressed Maduro Churchill","7","50","DR","DR","BRA","Maduro","Medium-Full",
21,"Victory Box Pressed Maduro Figurado","4","50","DR","DR","BRA","Maduro","Medium-Full",
21,"Victory Box Pressed Maduro Lonsdale","6","44","DR","DR","BRA","Maduro","Medium-Full",
21,"Victory Box Pressed Maduro Robusto","5","50","DR","DR","BRA","Maduro","Medium-Full",
21,"Victory Box Pressed Maduro Torpedo","7","52","DR","DR","BRA","Maduro","Medium-Full",
21,"Victory Churchill Long Filler","7.5","50","DR","DR","SUM","Colorado Maduro","Medium",
21,"Victory Corona Gorda Long Filler","6.5","46","DR","DR","SUM","Colorado Maduro","Medium",
21,"Victory Corona Gorda Med. Filler","6.5","46","DR","DR","SUM","Colorado Maduro","Medium",
21,"Victory Corona Long Filler","5.5","42","DR","DR","SUM","Colorado Maduro","Medium",
21,"Victory Corona Med. Filler","5.5","42","DR","DR","SUM","Colorado Maduro","Medium",
21,"Victory Creamy Vanilla","5.5","42","DR","DR","SUM","Colorado Maduro","Medium",
21,"Victory Robusto Long Filler","5","50","DR","DR","SUM","Colorado Maduro","Medium",
21,"Victory Robusto Med. Filler","5","50","DR","DR","SUM","Colorado Maduro","Medium",
21,"Victory Seattle Corona Gorda Med. Filler","6.5","46","DR","DR","SUM","Colorado Maduro","Medium",
21,"Victory Seattle Corona Med. Filler","5.5","42","DR","DR","SUM","Colorado Maduro","Medium",
21,"Victory Virgin Islands Rum","5.5","42","DR","DR","SUM","Colorado Maduro","Medium",
21,"Victory Virgin Islands Rum Churchill ","7","50","DR","DR","SUM","Colorado Maduro","Medium",
22,"Vieja Hacienda Belicoso","6","48","DR","DR","CTS","Colorado Claro","Medium",
22,"Vieja Hacienda Belicoso Maduro","6.5","52","DR","DR","","Maduro","Mild-Medium",
22,"Vieja Hacienda Churchill","7","50","DR","DR","CTS/USA","Colorado Claro","Medium",
22,"Vieja Hacienda Churchill Maduro","7","50","DR","DR","","Maduro","Mild-Medium",
22,"Vieja Hacienda Robusto","5","50","DR","DR","CTS/USA","Colorado Claro","Medium",
22,"Vieja Hacienda Toro","5.5","54","DR","DR","CTS/USA","Colorado Claro","Medium",
22,"Vieja Hacienda Toro Maduro","6","50","DR","DR","","Maduro","Medium",
22,"Vieja Hacienda Torpedo ","6.5","54","DR","DR","CTS/USA","Colorado Claro","Medium",
23,"Vieja Tradicion Churchill","7","50","HON","HON/NIC","CTS/USA","Colorado Claro","Full",
23,"Vieja Tradicion Churchill Maduro","7","50","HON","HON/NIC","CR","Maduro","Full",
23,"Vieja Tradicion Corona Gorda","6","52","HON","HON/NIC","CTS/USA","Colorado Claro","Full",
23,"Vieja Tradicion Corona Gorda Maduro","6","52","HON","HON/NIC","CR","Maduro","Full",
23,"Vieja Tradicion Robusto","4.75","50","HON","HON/NIC","CTS/USA","Colorado Claro","Full",
23,"Vieja Tradicion Robusto Maduro","4.75","50","HON","HON/NIC","CR","Maduro","Full",
24,"Vigilante Corojo Churchill ","7","50","HON/NIC","DR/MEX/NIC","CT/COR","Colorado","Medium",
24,"Vigilante Corojo Petite Belicoso","5.5","52","HON/NIC","DR/MEX/NIC","CT/COR","Colorado","Medium",
24,"Vigilante Corojo Petite Corona","5.5","43","HON/NIC","DR/MEX/NIC","CT/COR","Colorado","Medium",
24,"Vigilante Corojo Robusto Grande","5","52","HON/NIC","DR/MEX/NIC","CT/COR","Colorado","Medium",
24,"Vigilante Corojo Super Toro","6.25","58","HON/NIC","DR/MEX/NIC","CT/COR","Colorado","Medium",
24,"Vigilante Corojo Toro Grande","6.5","54","HON/NIC","DR/MEX/NIC","CT/COR","Colorado","Medium",
24,"Vigilante Corojo Torpedo","6","52","HON/NIC","DR/MEX/NIC","CT/COR","Colorado","Medium",
24,"Vigilante Maduro Petite Belicoso","5.5","52","HON","BRA/HON/NIC","CR","Maduro","Medium-Full",
24,"Vigilante Maduro Petite Corona","5.5","43","HON","BRA/HON/NIC","CR","Maduro","Medium-Full",
24,"Vigilante Maduro Robusto Grande","5","52","HON","BRA/HON/NIC","CR","Maduro","Medium-Full",
24,"Vigilante Maduro Super Toro","6.25","58","HON","BRA/HON/NIC","CR","Maduro","Medium-Full",
24,"Vigilante Maduro Toro Grande","6.5","54","HON","BRA/HON/NIC","CR","Maduro","Medium-Full",
24,"Vigilante Natural Churchill","7","50","HON","HON/NIC","ECU","Colorado Claro","Mild",
24,"Vigilante Natural Robusto ","5","50","HON","HON/NIC","ECU","Colorado Claro","Mild",
24,"Vigilante Natural Robusto Grande","5","52","HON","DR/NIC/PER","HON","Colorado Claro","Mild",
24,"Vigilante Natural Toro","6","50","HON","HON/NIC","ECU","Colorado Claro","Mild",
24,"Vigilante Natural Torpedo","6.5","52","HON","HON/NIC","ECU","Colorado Claro","Mild",
25,"Viking Village Berserker","6","50","DR","DR","CT","Colorado Claro","Medium",
25,"Viking Village Thor","5","50","DR","DR","CT","Colorado Claro","Medium",
26,"Villa Churchill","7.5","50","DR","DR","INDO","Colorado Claro","Medium",
26,"Villa Corona","6","44","DR","DR","INDO","Colorado Claro","Medium",
26,"Villa Rothschild","4.5","50","DR","DR","INDO","Colorado Claro","Medium",
27,"Villa de Cuba Brevas","5.75","44","DR","CBCS","SUM","Double Claro","",
27,"Villa de Cuba Brevas","5.75","44","DR","CBCS","SUM","Colorado Claro","",
27,"Villa de Cuba Brevas","5.75","44","DR","CBCS","CTB","Maduro","",
27,"Villa de Cuba Chicha","5.5","45","USA","","","","",
27,"Villa de Cuba Corona Grande","7.25","45","DR","CBCS","SUM","Double Claro","",
27,"Villa de Cuba Corona Grande","7.25","45","DR","CBCS","SUM","Colorado Claro","",
27,"Villa de Cuba Corona Grande","7.25","45","DR","CBCS","CTB","Maduro","",
27,"Villa de Cuba Majestics","6.38","43","DR","CBCS","SUM","Double Claro","",
27,"Villa de Cuba Majestics","6.38","43","DR","CBCS","SUM","Colorado Claro","",
27,"Villa de Cuba Majestics","6.38","43","DR","CBCS","CTB","Maduro","",
27,"Villa de Cuba Monarchs","7","42","USA","","","","",
27,"Villa de Cuba Palma","6.5","43","USA","","","","",
28,"Villa Dominicana Churchill","7","50","DR","DR/NIC","CT/ECU","Colorado Maduro","Medium",
28,"Villa Dominicana Corona Gorda","6","50","DR","DR/NIC","CT/ECU","Colorado Maduro","Medium",
28,"Villa Dominicana Petite Robusto","4","50","DR","DR/NIC","CT/ECU","Colorado Maduro","Medium",
28,"Villa Dominicana Robusto","5","50","DR","DR/NIC","CT/ECU","Colorado Maduro","Medium",
29,"Villa Havana Churchill","7.5","50","HON","DR/HON","INDO","Colorado Maduro","Medium",
29,"Villa Havana Corona","5.5","44","HON","DR/HON","INDO","Colorado Maduro","Medium",
29,"Villa Havana Lonsdale","6.5","42","HON","DR/HON","INDO","Colorado Maduro","Medium",
29,"Villa Havana Pyramid","6.5","54","HON","DR/HON","INDO","Colorado Maduro","Medium",
29,"Villa Havana Robusto","5","50","HON","DR/HON","INDO","Colorado Maduro","Medium",
29,"Villa Havana Toro","6","50","HON","DR/HON","INDO","Colorado Maduro","Medium",
30,"Villa Zamorano (see Maya Selva Cigars)","","","","","","","",
31,"Villainy 16mm","6","60","NIC","HON/NIC","NIC","Colorado","Medium-Full",
31,"Villainy Balfour","7","46","NIC","HON/NIC","NIC","Colorado","Medium-Full",
31,"Villainy Cold Case","6","54","NIC","HON/NIC","NIC","Colorado","Medium-Full",
31,"Villainy Fish Hooks","5","44","NIC","HON/NIC","NIC","Colorado","Medium-Full",
32,"Villar y Villar Bermejo","8.5","52","NIC","NIC/HON/DR","ECU/SUM","Naturale","Medium",
32,"Villar y Villar Figaro","6.5","44","NIC","DR/HON/NIC","ECU/SUM","Naturale","Medium",
32,"Villar y Villar Half Corona","4.5","38","NIC","DR/HON/NIC","ECU/SUM","Naturale","Medium",
32,"Villar y Villar Laguito","6.75","52","NIC","NIC/HON/DR","ECU/SUM","Naturale","Medium",
32,"Villar y Villar No. 4050 EMS","4","50","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 4131 EMS","4.12","31","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 4230 EMS","4.25","30","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 4230 Natural","4.25","30","NIC","DR/HON/NIC","ECU/SUM","Colorado Claro","Medium",
32,"Villar y Villar No. 4530 EMS","4.5","30","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 4530 Natural","4.5","30","NIC","DR/HON/NIC","ECU/SUM","Colorado Claro","Medium",
32,"Villar y Villar No. 4750 EMS","4.75","50","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 4750 Natural","4.75","50","NIC","DR/HON/NIC","ECU/SUM","Colorado Claro","Medium",
32,"Villar y Villar No. 4752 EMS","4.75","52","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 4754 EMS","4.75","54","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 4754 Natural","4.75","54","NIC","DR/HON/NIC","ECU/SUM","Colorado Claro","Medium",
32,"Villar y Villar No. 5034 Natural","5","34","NIC","DR/HON/NIC","ECU/SUM","Colorado Claro","Medium",
32,"Villar Y Villar No. 5042 Natural","5","42","NIC","DR/HON/NIC","ECU/SUM","Colorado Claro","Medium",
32,"Villar y Villar No. 5043 Candela","5","43","NIC","DR/HON/NIC","ECU/SUM","Double Claro","Medium",
32,"Villar y Villar No. 5043 EMS","5","43","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 5050 EMS","5","50","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 5050 Natural","5","50","NIC","DR/HOL/NIC","ECU/SUM","Colorado Claro","Medium",
32,"Villar y Villar No. 5052 EMS","5","52","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 5145 Candela","5.18","45","NIC","DR/HON/NIC","ECU/SUM","Double Claro","Medium",
32,"Villar y Villar No. 5145 EMS","5.18","45","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 5242 EMS","5.25","42","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 5242 Natural","5.25","42","NIC","NIC","ECU/SUM","Naturale","Medium",
32,"Villar y Villar No. 5254 Natural","5.25","54","NIC","NIC","ECU/SUM","Naturale","Medium",
32,"Villar y Villar No. 5534 EMS","5.5","34","NIC","NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 5534 Natural","5.5","34","NIC","NIC","ECU/SUM","Naturale","Medium",
32,"Villar y Villar No. 5542 EMS","5.5","42","NIC","NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 5542 Natural","5.5","42","NIC","NIC","ECU/SUM","Naturale","Medium",
32,"Villar y Villar No. 5548 Natural","5.5","48","NIC","NIC","ECU/SUM","Naturale","Medium",
32,"Villar y Villar No. 5554 EMS","5.5","54","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 5554 Natural","5.5","54","NIC","DR/HON/NIC","ECU/SUM","Colorado Claro","Medium",
32,"Villar y Villar No. 5741 EMS","5.75","41","NIC","NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 5741 Natural","5.75","41","NIC","NIC","ECU/SUM","Colorado Claro","Medium",
32,"Villar y Villar No. 5743 EMS","5.75","43","NIC","NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 5743 Natural","5.75","43","NIC","DR/HON/NIC","ECU/SUM","Colorado Claro","Medium",
32,"Villar y Villar No. 5744 EMS","5.75","44","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 5744 Natural","5.75","44","NIC","NIC","ECU/SUM","Naturale","Medium",
32,"Villar y Villar No. 5745 Candela","5.75","45","NIC","NIC","ECU/SUM","Naturale","Medium",
32,"Villar y Villar No. 6036 Natural","6","36","NIC","DR/HON/NIC","ECU/SUM","Colorado","Medium",
32,"Villar y Villar No. 6043 EMS","6","43","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 6044 Natural","6","44","NIC","DR/HON/NIC","ECU/SUM","Colorado Claro","Medium",
32,"Villar y Villar No. 6045 Natural","6","45","NIC","DR/HON/NIC","ECU/SUM","Colorado Claro","Medium",
32,"Villar y Villar No. 6046 EMS","6","46","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 6050 EMS","6","50","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 6050 Natural","6","50","NIC","DR/HON/NIC","ECU/SUM","Colorado Claro","Medium",
32,"Villar y Villar No. 6052 Figurado EMS","6","52","NIC","DR/HON/NIC","ECU/SUM","Colorado Maduro","Medium",
32,"Villar y Villar No. 6052 Figurado Natural","6","52","NIC","DR/HON/NIC","ECU/SUM","Colorado Claro","Medium",
33,"Villazon Hatsa Corona Gorda","5.625","46","HON","DR/HON/NIC","HON","Naturale","",
33,"Villazon Hatsa Lonsdales","","","HON","DR/HON/NIC","HON","Naturale","",
34,"Villega Reales Churchill","7","48","DR","DR","INDO","Colorado Maduro","Medium-Full",
34,"Villega Reales Corona","5.5","43","DR","DR","INDO","Colorado Maduro","Medium-Full",
34,"Villega Reales Coronita","4.75","32","DR","DR","INDO","Colorado Maduro","Medium-Full",
34,"Villega Reales Lonsdale","7","43","DR","DR","INDO","Colorado Maduro","Medium-Full",
34,"Villega Reales Robusto","4.75","52","DR","DR","INDO","Colorado Maduro","Medium-Full",
34,"Villega Reales Toro","6","50","DR","DR","INDO","Colorado Maduro","Medium-Full",
34,"Villega Reales Torpedo","6","52","DR","DR","INDO","Colorado Maduro","Medium-Full",
35,"Villiger 125 Canton","4.5","56","NIC","NIC","ECU","Colorado","Medium",
35,"Villiger 125 Lucerne","5.5","56","NIC","NIC","ECU","Colorado","Medium",
35,"Villiger 125 Mondo","6.5","56","NIC","NIC","ECU","Colorado","Medium",
35,"Villiger 1492 Short Perfecto","5.375","52","DR","DR","ECU","Colorado Claro","Medium",
35,"Villiger 1888 Corona ","6","43","DR","CBCS","ECU","Colorado Claro","Mild-Medium",
35,"Villiger 1888 Especiales","6.5","50","DR","DR/NIC","ECU","Colorado","",
35,"Villiger 1888 Fuerte Robusto ","5","50","DR","CBCS","MEX","Colorado","Medium-Full",
35,"Villiger 1888 Fuerte Toro","6","50","DR","CBCS","MEX","Colorado","Medium-Full",
35,"Villiger 1888 Perla","4","40","DR","CBCS","ECU","Colorado Claro","Mild-Medium",
35,"Villiger 1888 Reserva Limited Edition 2010","6.5","50","DR","SEC","SEC","Colorado","Mild-Medium",
35,"Villiger 1888 Robusto","4.75","50","DR","CBCS","ECU","Colorado Claro","Mild-Medium",
35,"Villiger 1888 Short Robusto","4","50","DR","CBCS","ECU","Colorado Claro","Mild-Medium",
35,"Villiger 1888 Torpedo","6","52","DR","CBCS","ECU","Colorado Claro","Mild-Medium",
35,"Villiger Bold Churchill","7","50","NIC","NIC","ECU","Colorado","Medium",
35,"Villiger Bold Robusto","5","50","NIC","NIC","ECU/HAB","Colorado","Medium",
35,"Villiger Bold Toro","6","50","NIC","NIC","ECU","Colorado","Medium",
35,"Villiger Braniff Cortos Dark","3.12","18","SWI","Java/USA","MEX","Maduro","Medium",
35,"Villiger Braniff Cortos Flt Lt","3.12","18","SWI","Java/USA","MEX","Naturale","Medium",
35,"Villiger Braniff Cortos Mild","3.12","18","SWI","Java/USA","MEX","Naturale","Medium",
35,"Villiger Braniff No. 2","4.63","21","SWI","Java/USA","MEX","Colorado Maduro","Medium",
35,"Villiger Braniff No. 3","4.63","21","SWI","Java/USA","BRA","Maduro","Medium",
35,"Villiger Braniff No. 8","4","36","SWI","NTL","SUM","Claro","Medium",
35,"Villiger Cabarete Maduro Corona","4.5","48","DR","DR/NIC","NIC","Maduro","Medium-Full",
35,"Villiger Cabarete Maduro Robusto","5.25","50","DR","DR/NIC","NIC","Maduro","Medium-Full",
35,"Villiger Cabarete Maduro Toro Largo","6","54","DR","DR/NIC","NIC","Maduro","Medium-Full",
35,"Villiger Cabarete Maduro Torpedo","6.25","52","DR","DR/NIC","NIC","Maduro","Medium-Full",
35,"Villiger Colorado Churchill","7","50","NIC","NIC","NIC","Colorado","Medium-Full",
35,"Villiger Colorado Closed Foot Torpedo","5.5","52","NIC","NIC","NIC","Colorado","Medium-Full",
35,"Villiger Colorado Diadema","6.5","54","NIC","NIC","NIC","Colorado","Medium-Full",
35,"Villiger Colorado Double Robusto","5.5","54","NIC","NIC","NIC","Colorado","Medium-Full",
35,"Villiger Colorado Gordo","6","60","NIC","NIC","NIC","Colorado","Medium-Full",
35,"Villiger Colorado Robusto ","5","50","NIC","NIC","NIC","Colorado","Medium-Full",
35,"Villiger Colorado Toro","6","50","NIC","NIC","NIC","Colorado","Medium-Full",
35,"Villiger Colorado Toro Especiale","5.75","52","NIC","NIC","NIC","Colorado","Medium-Full",
35,"Villiger Connecticut Kreme Churchill","7","50","DR","DR","CT/ECU","Colorado Claro","Mild-Medium",
35,"Villiger Connecticut Kreme Robusto","5","48","DR","DR","CT/ECU","Colorado Claro","Mild-Medium",
35,"Villiger Connecticut Kreme Toro Gordo","6","54","DR","DR","CT/ECU","Colorado Claro","Mild-Medium",
35,"Villiger Connecticut Kreme Torpedo","6.25","54","DR","DR","CT/ECU","Colorado Claro","Mild-Medium",
35,"Villiger Elite Churchill","7","50","DR","COR/H98","DR/HAB","Colorado","Medium-Full",
35,"Villiger Elite Robusto","5","52","DR","COR/DR/H98","DR/HAB","Colorado","Medium-Full",
35,"Villiger Elite Toro","6","50","DR","COR/DR/H98","DR/HAB","Colorado","Medium-Full",
35,"Villiger Elite Torpedo","6.5","52","DR","COR/H98","DR/HAB","Colorado","Medium-Full",
35,"Villiger Export","4","36","GER/SWI","NTL","INDO","Claro","Medium",
35,"Villiger Export Brasil","4","36","GER","BRA","BRA","Colorado","Mild-Medium",
35,"Villiger Filter Tip","3.75","20","SWI","NET","BRA","Naturale","Medium",
35,"Villiger Kiel Brasil","6.5","28","SWI","NTL","BRA","Maduro","Medium",
35,"Villiger Kiel Brasil Junior","4.5","28","SWI","NTL","BRA","Colorado Maduro","Medium",
35,"Villiger Kiel Mild","6.5","28","SWI","NTL","INDO","Claro","Mild-Medium",
35,"Villiger Kiel Mild Junior","4.5","28","SWI","NTL","SUM","Claro","Mild-Medium",
35,"Villiger La Meridiana (New) Churchill","7","48","NIC","NIC","NIC","Colorado","Medium",
36,"Vindicator Churchill","7","52","NIC","NIC","NIC","Colorado Maduro","Full",
36,"Vindicator Robusto ","5.5","50","NIC","NIC","NIC","Colorado Maduro","Full",
36,"Vindicator Toro ","6","52","NIC","NIC","NIC","Colorado Maduro","Full",
37,"Vintage Especial (by Plasencia) Churchill","7","50","HON","HON/NIC","CTS/ECU","Colorado Claro","Mild-Medium",
37,"Vintage Especial (by Plasencia) Lonsdale","6.5","44","HON","HON/NIC","CTS/ECU","Colorado Claro","Mild-Medium",
37,"Vintage Especial (by Plasencia) Robusto Grande","5","52","NIC","HON/NIC","CTS/ECU","Colorado Claro","Mild-Medium",
37,"Vintage Especial (by Plasencia) Toro Grande (Gran Toro) ","6","52","HON","HON/NIC","CTS/ECU","Colorado Claro","Mild-Medium",
37,"Vintage Especial (by Plasencia) Torpedo","6.5","52","HON","HON/NIC","CTS/ECU","Colorado Claro","Mild-Medium",
38,"VIP (by George Rico) Maduro Gran Robusto","6","54","HON","NIC","NIC","Maduro","Full",
38,"VIP (by George Rico) Maduro Robusto","5","50","HON","NIC","NIC","Maduro","Full",
38,"VIP (by George Rico) Maduro Toro ","6","52","HON","NIC","NIC","Maduro","Full",
38,"VIP (by George Rico) Natural Gran Robusto","6","54","HON","NIC","NIC","Colorado","Medium",
38,"VIP (by George Rico) Natural Robusto ","5","50","HON","NIC","NIC","Colorado","Medium",
38,"VIP (by George Rico) Natural Toro ","6","52","HON","NIC","NIC","Colorado","Medium",
38,"VIP (by George Rico) Sweet Tip Gran Robusto","6","54","HON","NIC","CT/ECU","Claro","Mild",
38,"VIP (by George Rico) Sweet Tip Robusto","5","50","HON","NIC","CT/ECU","Claro","Mild",
38,"VIP (by George Rico) Sweet Tip Toro ","6","54","HON","NIC","CT/ECU","Claro","Mild",
39,"Virreyes de Mexico Churchill","7.5","46","MEX","MEX","MEX","Naturale","Mild-Medium",
39,"Virreyes de Mexico Doble Figurado","6","56","MEX","MEX","MEX","Colorado","Mild-Medium",
39,"Virreyes de Mexico Doble Figurado Corto","5","48","MEX","MEX","MEX","Colorado","Mild-Medium",
39,"Virreyes de Mexico Robusto Corto","4","50","MEX","MEX","MEX","Naturale","Mild-Medium",
39,"Virreyes de Mexico Torpedo","6","48","MEX","MEX","MEX","Naturale","Mild-Medium",
40,"Virtuoso Cetros","6","43","HON","HON","","","",
40,"Virtuoso Robusto","4.75","52","HON","HON","","","",
41,"Vista de Cuba (Oliveros) Belicoso","6","56","DR","DR/NIC","ECU","Colorado Claro","Mild",
41,"Vista de Cuba (Oliveros) Churchill","7","52","DR","DR/NIC","ECU","Colorado Claro","Mild",
41,"Vista de Cuba (Oliveros) Corona Maduro","5.5","40","DR","DR/NIC","ECU","Maduro","Mild-Medium",
41,"Vista de Cuba (Oliveros) Reserva Churchill","7.25","48","DR","DR/NIC","CT","Colorado Claro","Mild",
41,"Vista de Cuba (Oliveros) Reserva Churchill Maduro","7.25","48","DR","DR/NIC","ECU","Maduro","Mild-Medium",
41,"Vista de Cuba (Oliveros) Reserva Robusto","5","50","DR","DR/NIC","CT","Colorado Claro","Mild",
41,"Vista de Cuba (Oliveros) Reserva Robusto Maduro","5","50","DR","DR/NIC","ECU","Maduro","Mild-Medium",
41,"Vista de Cuba (Oliveros) Reserva Toro","6","50","DR","DR/NIC","CT","Colorado Claro","Mild",
41,"Vista de Cuba (Oliveros) Reserva Toro Maduro","6","50","DR","DR/NIC","ECU","Maduro","Mild-Medium",
41,"Vista de Cuba (Oliveros) Reserva Torpedo","6.25","52","DR","DR/NIC","CT","Colorado Claro","Mild",
41,"Vista de Cuba (Oliveros) Reserva Torpedo Maduro","6.25","52","DR","DR/NIC","ECU","Maduro","Mild-Medium",
41,"Vista de Cuba (Oliveros) Robusto","5","50","DR","DR/NIC","ECU","Colorado Claro","Mild",
41,"Vista de Cuba (Oliveros) Toro","5.75","52","DR","DR/NIC","ECU","Colorado Claro","Mild",
42,"Viva Bandito Perfecto","5.5","50","MEX","MEX","MEX","Colorado Maduro","Mild",
43,"Viva Republica Advanced Warfare Corona","5.25","43","DR","DR/NIC/PA","ECU/SUM","Colorado Maduro","Full",
43,"Viva Republica Advanced Warfare Petit Corona","4","41","DR","DR/NIC/PA","ECU/SUM","Colorado Maduro","Full",
43,"Viva Republica Culebra (3 blends)","5.75","39","DR","BRA/DR/NIC/PER","ECU/MEX/SUM","Multiple","Medium-Full",
43,"Viva Republica Guerilla Warfare Petite Corona","4","41","DR","BRA/DR/NIC","ECU/SUM","Colorado Maduro","Full",
43,"Viva Republica Guerrilla Warfare Corona ","5.25","43","DR","BRA/DR/NIC","ECU/SUM","Colorado Maduro","Full",
43,"Viva Republica Ivy Dudley","5","50","DR","DR/NIC","COR/ECU/HAB","Colorado","Mild-Medium",
43,"Viva Republica Ivy Lamont","5.25","43","DR","DR/NIC","COR/ECU/HAB","Colorado","Mild-Medium",
43,"Viva Republica Ivy Porcellian","7.5","50","DR","DR/NIC","COR/ECU/HAB","Colorado","Mild-Medium",
43,"Viva Republica Jailbreak","6","58","DR","SEC","DR/ECU","Colorado","Medium",
43,"Viva Republica Propaganda 5 & 1/2 Truth","5.5","54","DR","DR/NIC/PA","BRA","Colorado Maduro","Medium-Full",
43,"Viva Republica Propaganda Bandwagon","7","50","DR","DR/NIC/PA","BRA","Colorado Maduro","Medium-Full",
43,"Viva Republica Propaganda Disinformation","4","54","DR","DR/NIC/PA","BRA","Colorado Maduro","Medium-Full",
43,"Viva Republica Propaganda The Big Lie","6","58","DR","DR/NIC/PA","BRA","Colorado Maduro","Medium-Full",
43,"Viva Republica Rapture Exodus","6.25","52","DR","BRA/DR/NIC","ECU","Colorado Claro","Medium",
43,"Viva Republica Rapture Exodus Maduro","6.25","54","DR","BRA/DR/NIC/PER","MEX","Maduro","Medium-Full",
43,"Viva Republica Rapture Harasha","6","58","DR","BRA/DR/NIC","ECU","Colorado Claro","Medium",
43,"Viva Republica Rapture Harasha Maduro","6","58","DR","BRA/DR/NIC/PER","MEX","Maduro","Medium-Full",
43,"Viva Republica Rapture Perdition","4.5","50","DR","BRA/DR/NIC","ECU","Colorado Claro","Medium",
43,"Viva Republica Rapture Perdition Maduro","4.5","50","DR","BRA/DR/NIC/PER","MEX","Maduro","Medium-Full",
